case,problem,cores,singlecore_makespan,makespan,speedup,added_copy_bytes,label,cache_hit_rate,parallelism,n_elig
case_098,3,2,177430,88840,1.9972,2211130,v32_bandcomp_w4,0.15689348823975344,14.7,1365
case_098,3,3,177430,70499,2.5168,2727312,v32_bandcomp_w4,0.1540531320205981,14.7,1365
case_098,3,4,177430,63671,2.7867,794696,v34_bandref_w8,0.2686975792811505,14.7,1365
case_098,3,5,177430,64095,2.7682,887908,v34_bandref_w8,0.2672667705619297,14.7,1365
case_099,1,2,1622999,839602,1.9331,9940992,v31_grow_count_m8,0,495.65,6296
case_099,1,3,1622999,567280,2.861,21970048,v39_btol_tol0.4-window14,0,495.65,6296
case_099,1,4,1622999,433298,3.7457,21970048,v39_btol_tol0.4-window14,0,495.65,6296
case_099,1,5,1622999,335435,4.8385,11157512,grow_m8_tol0.15,,495.65,6296
case_099,2,2,1622999,804562,2.0172,2051396,v35_bandref_w6,0,495.65,6296
case_099,2,3,1622999,537706,3.0184,7400392,v35_bandref_w6,0,495.65,6296
case_099,2,4,1622999,405788,3.9996,4762580,v35_bandref_w6,0,495.65,6296
case_099,2,5,1622999,327682,4.953,8064536,v39_bseed_seed3-window10,0,495.65,6296
case_099,3,2,1622999,804598,2.0172,2051396,v35_bandref_w6,0.1754537755340666,495.65,6296
case_099,3,3,1622999,536072,3.0276,7400392,v35_bandref_w6,0.5201198676142932,495.65,6296
case_099,3,4,1622999,405112,4.0063,4762580,v35_bandref_w6,0.48723275088027507,495.65,6296
case_099,3,5,1622999,326017,4.9783,10606452,v35_bandref_w6,0.6205458242250037,495.65,6296
case_100,1,2,151223,84672,1.786,55296,grow_m3,,20.04,1394
case_100,1,3,151223,57948,2.6096,55296,,,20.04,1394
case_100,1,4,151223,56258,2.688,2072980,v35_bandref_w6,0,20.04,1394
case_100,1,5,151223,58160,2.6001,2072980,v36_cross_p1_from_p2,0,20.04,1394
case_100,2,2,151223,71666,2.1101,24208,v35_bandref_w16,0,20.04,1394
case_100,2,3,151223,53251,2.8398,399584,v35_bandref_w6,0,20.04,1394
case_100,2,4,151223,54620,2.7686,521064,v35_bandref_w6,0,20.04,1394
case_100,2,5,151223,55997,2.7006,621402,v35_bandref_w6,0,20.04,1394
case_100,3,2,151223,71666,2.1101,24208,v35_bandref_w16,0.03948076493982071,20.04,1394
case_100,3,3,151223,53251,2.8398,399584,v35_bandref_w6,0.2917977555258824,20.04,1394
case_100,3,4,151223,54620,2.7686,521064,v35_bandref_w6,0.3090703349104049,20.04,1394
case_100,3,5,151223,55883,2.7061,621402,v35_bandref_w6,0.29382481773564595,20.04,1394
